Year,Month,Day,期望输出
2016,3,1,2016 03 02
2016,3,28,2016 03 29
2016,3,29,2016 03 30
2016,3,30,2016 03 31
2016,3,31,2016 04 01
2016,4,1,2016 04 02
2016,4,28,2016 04 29
2016,4,29,2016 04 30
2016,4,30,2016 05 01
2016,4,31,日的值不在指定范围内
2016,2,1,2016 02 02
2016,2,28,2016 02 29
2016,2,29,2016 03 01
2016,2,30,日的值不在指定范围内
2016,2,31,日的值不在指定范围内
2016,12,1,2016 12 02
2016,12,28,2016 12 29
2016,12,29,2016 12 30
2016,12,30,2016 12 31
2016,12,31,2017 01 01
2011,3,1,2011 03 02
2011,3,28,2011 03 29
2011,3,29,2011 03 30
2011,3,30,2011 03 31
2011,3,31,2011 04 01
2011,4,1,2011 04 02
2011,4,28,2011 04 29
2011,4,29,2011 04 30
2011,4,30,2011 05 01
2011,4,31,日的值不在指定范围内
2011,2,1,2011 02 02
2011,2,28,2011 03 01
2011,2,29,日的值不在指定范围内
2011,2,30,日的值不在指定范围内
2011,2,31,日的值不在指定范围内
2011,12,1,2011 12 02
2011,12,28,2011 12 29
2011,12,29,2011 12 30
2011,12,30,2011 12 31
2011,12,31,2012 01 01
1899,3,1,年的值不在指定范围内
2051,3,1,年的值不在指定范围内
1901,-1,1,月的值不在指定范围内
1901,13,1,月的值不在指定范围内
1901,1,-1,日的值不在指定范围内
2016,2,30,日的值不在指定范围内
2017,2,29,日的值不在指定范围内
2017,3,32,日的值不在指定范围内
2017,4,31,日的值不在指定范围内
